#-------------------------------------------
# Food Diary Report - Detailed Report,"понедельник, июня 1, 2026","вторник, июня 30, 2026"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Cреднесуточная норма,Кал ( ккал),Жир( г),Углев( г),Белк( г)
Всего,3414,"100,48","438,07","185,13"
Завтрак,849,"36,69","96,77","32,62"
Обед,1006,"22,28","126,14","74,28"
Ужин,1559,"41,51","215,16","78,23"
Перекус/Другое,,,,

#-------------------------------------------
# Report Details
#-------------------------------------------
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)

"понедельник, июня 1, 2026",3415,"90,32","1,272","455,04","30,85","21,48","181,03",215,192,1069
 Завтрак,809,"48,18",,46,,,"47,48",,,
  Моя Цена Сыр Российский Настоящий,549,"44,18",,0,,,"37,98",,,
   155 г
  Хлебзавод 3 Хлеб Тостовый,260,4,,46,,,"9,5",,,
   100 г
 Обед,902,"15,16","0,762","111,72","11,2",0,"76,24",150,134,589
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
  Куриное Филе,254,"2,86","0,762",0,0,0,"53,34",150,134,589
   231 г
  Агро-Альянс Гречка Экстра,560,"4,8",,"108,8","11,2",,"20,8",0,,
   160 г
 Ужин,1704,"26,98","0,51","297,32","19,65","21,48","57,31",65,58,480
  Lucky Days Пастила с Ванильно-Сливочным Ароматом,150,0,,"36,96",,,"0,22",,,
   44 г
  Фругурт Питьевой Йогурт,134,2,,24,,,"5,2",,,
"   2 x 100g, 200 г"
  Братья Ореховы Миндаль Сырой,183,"16,11",,"3,9",,,"5,58",,,225
   30 г
  Магнит Банан,159,"0,18","0,18","39,02","4,65","21,48","2,68",,,
   179 г
  Куриное Филе,110,"1,24","0,33",0,0,0,"23,09",65,58,255
   100 г
  Простоквашино Простоквашино Сметана 10%,43,"3,7",,"1,44",,,"1,04",,,
   37 г
  Макфа Греча Ядрица,525,"3,75",,102,15,,"19,5",,,
   150 г
  Очаковский Квас,400,0,0,90,,,0,,,
   2 000 мл
 Перекус/Другое,,,,,,,,,,

"вторник, июня 2, 2026",3581,"111,1","3,439","459,85","38,34","58,93","179,39","216,14",193,"1198,02"
 Завтрак,890,"23,62","2,25","146,14",11,"48,61","23,22","0,14",,"199,02"
  Моя Цена Сыр Российский Настоящий,88,"7,12",,0,,,"6,12",,,
   25 г
  Махеевъ Мягкая Карамель со Сгущенным Молоком,272,"1,58","0,93","63,24",,"48,55","1,3","0,14",,"199,02"
   93 г
  Ясно Солнышко Овсяная Каша 2,374,"6,6","1,32",66,11,"0,06","13,2",,,
   110 г
  Ne Moloko Овсяное,156,"8,32",,"16,9",,,"2,6",,,
   260 г
 Обед,996,"9,53","1,099","122,4","12,6",0,"100,29",216,193,849
  Куриное Филе,366,"4,13","1,099",0,0,0,"76,89",216,193,849
   333 г
  Агро-Альянс Гречка Экстра,630,"5,4",,"122,4","12,6",,"23,4",0,,
   180 г
 Ужин,1695,"77,95","0,09","191,31","14,74","10,32","55,88",,,150
  Братья Ореховы Миндаль Сырой,122,"10,74",,"2,6",,,"3,72",,,150
   20 г
  Фругурт Питьевой Йогурт,268,4,,48,,,"10,4",,,
"   4 x 100g, 400 г"
  Магнит Банан,77,"0,09","0,09","18,75","2,24","10,32","1,29",,,
   86 г
  Lucky Days Пастила с Ванильно-Сливочным Ароматом,150,0,,"36,96",,,"0,22",,,
   44 г
  Макфа Греча Ядрица,438,"3,12",,85,"12,5",,"16,25",,,
   125 г
  Магнит Купаты Экстра,640,60,,0,,,24,,,
   200 г
 Перекус/Другое,,,,,,,,,,

"среда, июня 3, 2026",3538,"85,46","3,977","504,41","32,89","63,92","190,34","324,14",289,"1475,3"
 Завтрак,774,"14,73","2,21","142,59","10,5","49,64","17,83","0,14",,"203,3"
  Махеевъ Мягкая Карамель со Сгущенным Молоком,278,"1,62","0,95","64,6",,"49,59","1,33","0,14",,"203,3"
   95 г
  Ясно Солнышко Овсяная Каша 2,357,"6,3","1,26",63,"10,5","0,05","12,6",,,
   105 г
"  Вкусняев Молоко 1,5%",31,"1,05",,"3,29",,0,"2,1",,,
   70 г
  Ne Moloko Овсяное,108,"5,76",,"11,7",,,"1,8",,,
   180 г
 Обед,878,"4,93","1,099","126,4","4,8",0,"88,89",216,193,849
  Куриное Филе,366,"4,13","1,099",0,0,0,"76,89",216,193,849
   333 г
  Агро-Альянс Длиннозерный Рис,512,"0,8",,"126,4","4,8",,12,,,
   160 г
 Ужин,1886,"65,8","0,668","235,42","17,59","14,28","83,62",108,96,423
  Магнит Банан,106,"0,12","0,12","25,94","3,09","14,28","1,78",,,
   119 г
  Куриное Филе,183,"2,06","0,548",0,0,0,"38,33",108,96,423
   166 г
  Макфа Греча Ядрица,508,"3,62",,"98,6","14,5",,"18,85",,,
   145 г
  Lucky Days Пастила с Ванильно-Сливочным Ароматом,449,0,,"110,88",,,"0,66",,,
   132 г
  Магнит Купаты Экстра,640,60,,0,,,24,,,
   200 г
 Перекус/Другое,,,,,,,,,,

"четверг, июня 4, 2026",3407,"95,41","3,571","450,48",37,"49,65","182,4","244,14",218,"1162,3"
 Завтрак,786,"12,5","2,33","146,06","11,5","49,65","23,08","0,14",,"203,3"
  Махеевъ Мягкая Карамель со Сгущенным Молоком,278,"1,62","0,95","64,6",,"49,59","1,33","0,14",,"203,3"
   95 г
  Ясно Солнышко Овсяная Каша 2,391,"6,9","1,38",69,"11,5","0,06","13,8",,,
   115 г
"  Вкусняев Молоко 1,5%",117,"3,98",,"12,46",,0,"7,95",,,
   265 г
 Обед,708,"6,56","0,548",102,"10,5",0,"57,83",108,96,423
  Агро-Альянс Гречка Экстра,525,"4,5",,102,"10,5",,"19,5",0,,
   150 г
  Куриное Филе,183,"2,06","0,548",0,0,0,"38,33",108,96,423
   166 г
 Ужин,1913,"76,35","0,693","202,42",15,0,"101,49",136,122,536
  Фругурт Питьевой Йогурт,168,"2,5",,30,,,"6,5",,,
"   2 1/2 x 100g, 250 г"
  Простоквашино Простоквашино Сметана 10%,88,"7,5",,"2,92",,,"2,1",,,
   75 г
  Куриное Филе,231,"2,6","0,693",0,0,0,"48,49",136,122,536
   210 г
  Макфа Греча Ядрица,525,"3,75",,102,15,,"19,5",,,
   150 г
  Lucky Days Зефир со Вкусом Чёрной Смородины,261,0,,"67,5",,,"0,9",,,
   90 г
  Магнит Купаты Экстра,640,60,,0,,,24,,,
   200 г
 Перекус/Другое,,,,,,,,,,

"пятница, июня 5, 2026",3455,"99,09","2,359","460,01","42,27","14,69","178,91",204,183,804
 Завтрак,560,"9,87","1,32","98,35","13,17","14,69","21,33",,,
  Магнит Банан,109,"0,12","0,12","26,6","3,17","14,64","1,83",,,
   122 г
  Ясно Солнышко Овсяная Каша 2,340,6,"1,2",60,10,"0,05",12,,,
   100 г
"  Вкусняев Молоко 1,5%",111,"3,75",,"11,75",,0,"7,5",,,
   250 г
 Обед,949,"15,5","0,693","125,32","12,6",0,"73,99",136,122,536
